annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;nombre_de_gagnant_au_rang13_en_france;nombre_de_gagnant_au_rang13_en_europe;rapport_du_rang13;numero_My_Million;devise;nom;type;Nom complet
2016015;VENDREDI;19/02/2016;20/04/2016;32;13;14;39;30;3;9;-13-14-30-32-39-;-3-9-;0;0;0;0;1;1424950,2;1;5;94996,6;7;60;3958,1;157;857;242,4;298;1631;127,4;560;2870;51,7;8921;45880;14,8;7682;43364;15;15103;82805;13,2;50164;246637;7,8;126735;678742;7,6;237763;1265283;4,2;FN0767739;eur;pikachu;2;ピカチュウ
2016014;MARDI   ;16/02/2016;17/04/2016;3;22;50;10;37;6;10;-3-10-22-37-50-;-6-10-;0;0;0;0;3;323686,1;1;8;40460,7;10;39;4149,8;123;652;217,1;273;1468;96,4;241;1385;73;3689;20540;22,6;5410;29172;15,2;11942;63836;11,7;19075;106888;12,3;81463;424632;8,3;181365;952864;3,8;NI8828496;eur;Artikodin;1;フリーザー
2016013;VENDREDI;12/02/2016;13/04/2016;31;49;28;20;3;5;2;-3-20-28-31-49-;-2-5-;0;1;32002496;1;2;760400,4;3;15;33795,5;10;69;3673,4;197;1072;206,8;397;1895;117;638;2937;53,9;8809;44355;16,4;9829;48456;14,3;18809;87810;13,3;49117;246653;8,3;145071;719586;7,7;269438;1302875;4,3;SJ7862380;eur;Elechor;1;サンダー
2016012;MARDI   ;09/02/2016;10/04/2016;9;6;13;28;37;4;5;-6-9-13-28-37-;-4-5-;0;0;0;1;2;514786,7;4;16;21449,4;7;46;3730,3;236;1067;140,7;442;1893;79,3;509;2178;49,2;6144;28850;17,1;9447;43410;10,8;17604;77521;10,2;26932;136291;10,2;117320;565603;6,6;219792;1018989;3,7;OL0069992;eur;Rattata;2;ラッタ
2016011;VENDREDI;05/02/2016;06/04/2016;46;32;27;3;41;4;8;-3-27-32-41-46-;-4-8-;0;0;0;0;2;778378,2;3;8;64864,8;12;60;4324,3;178;887;255,9;381;1662;136,5;514;2405;67,4;8592;38320;19,4;10157;42708;16,7;17712;82686;14,5;53018;222426;9,4;144331;636653;8,9;291766;1275854;4,5;SX6418727,KH2566499,NG1573362,LI7232171,DU7438607;eur;Abo;2;アーボ
2016010;MARDI   ;02/02/2016;03/04/2016;36;21;10;6;9;6;2;-6-9-10-21-36-;-2-6-;0;1;15000000;0;5;224091,3;2;7;53355;9;62;3011,9;245;987;165,5;386;1722;94,8;696;2870;40,6;9297;38338;14;10660;44127;11,6;18549;77614;11,1;43320;179456;8,4;137704;572734;7,1;256097;1080519;3,8;ME5314003,PY9314689,RQ2026528,LC8410781,JT3138022;eur;Raiko;1;ストライク
2016009;VENDREDI;29/01/2016;30/03/2016;29;32;23;1;5;1;7;-1-5-23-29-32-;-1-7-;1;2;66188316;1;6;408293,6;1;5;163317,4;31;97;4209,2;332;1906;187,4;584;3260;109,5;1006;4692;54,3;14612;67867;17,2;16744;86627;12,9;28219;159592;11,8;69288;339210;9,7;228717;1219495;7,3;399630;2294832;4;OK4775732;eur;Diglett;2;ディグダ
2016008;MARDI   ;26/01/2016;27/03/2016;15;40;24;48;38;2;9;-15-24-38-40-48-;-2-9-;0;0;0;0;0;0;1;16;139344,6;8;48;5806;137;959;254,2;323;2016;120,9;382;2418;72;6428;39834;20,1;7173;47410;16,1;14702;93067;13,8;37204;221496;10,2;112120;717630;8,5;222848;1406007;4,4;UD4606461;eur;Paras;2;パラセクト
2016007;VENDREDI;22/01/2016;23/03/2016;27;10;30;47;12;9;8;-10-12-27-30-47-;-8-9-;0;0;0;2;8;259148,9;5;13;53158,7;21;85;4065;329;1715;176,2;694;3303;91,5;638;3369;64,1;8624;48970;20,2;14970;75976;12,5;28463;142206;11,2;42289;246945;11,3;201903;1067097;7,1;380422;1986302;3,9;OI5939456;eur;Lugia;1;ルギア
2016006;MARDI   ;19/01/2016;20/03/2016;2;30;38;43;46;7;2;-2-30-38-43-46-;-2-7-;0;0;0;0;2;685000,7;0;9;50740,7;6;36;6342,5;104;702;284,6;186;1351;147,8;402;2222;64,2;6946;36527;17,9;5869;35497;17,6;10677;69601;15,1;43207;219676;8,4;91874;551367;9,1;162535;1031287;4,9;VY5846832;eur;Parasect;2;パラセクト
2016005;VENDREDI;15/01/2016;16/03/2016;43;38;19;10;46;1;11;-10-19-38-43-46-;-1-11-;0;0;0;1;4;458316,4;3;9;67898,7;13;59;5178,7;158;912;293,1;403;2178;122,7;416;2319;82,3;6518;35779;24,5;7639;44558;18,8;18896;105438;13,4;37819;205054;12,1;118990;679503;9,8;299618;1643761;4,1;KF0375027;eur;Suicune;1;スイクン
2016004;MARDI   ;12/01/2016;13/03/2016;2;10;30;44;1;1;8;-1-2-10-30-44-;-1-8-;0;0;0;0;0;0;1;2;833543,7;10;47;4433,7;148;828;220,2;289;1569;116,2;428;2190;59,4;6216;31161;19,2;8948;43218;13,2;15115;77736;12,3;30444;159083;10,6;113453;593305;7,7;216330;1141910;4,1;UO0678877;eur;Persian;2;ペルシアン
